"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.108085792E0,1.290316772E-1,3.803590393E-1,9.797725525E0,9.805954703E0
3.118131792E0,1.402583313E-1,3.727249146E-1,9.776320038E0,9.784427921E0
3.128176792E0,1.350192261E-1,3.589535522E-1,9.785900116E0,9.793412016E0
3.138222792E0,1.360670471E-1,3.709286499E-1,9.785451050E0,9.793424046E0
3.148267792E0,1.172062683E-1,3.757186890E-1,9.764943695E0,9.772872004E0
3.158313792E0,1.056802368E-1,3.649411011E-1,9.780211945E0,9.787588876E0
3.168358792E0,1.007405090E-1,3.544628906E-1,9.793683929E0,9.800614139E0
3.178404792E0,9.999206543E-2,3.613485718E-1,9.784103851E0,9.791284869E0
3.188449792E0,1.056802368E-1,3.495231628E-1,9.777367859E0,9.784184023E0
3.198494792E0,1.131646729E-1,3.606001282E-1,9.774823151E0,9.782126881E0
